# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
409849_0:0043ab	254	60.630	11	752	328	2.15e-106
135184_0:00138f	231	70.563	2	749	326	2.40e-106
8187_0:005169	258	60.465	11	753	328	2.48e-106
98133_0:000636	215	67.907	1	746	325	2.67e-106
52904_0:00414f	253	61.265	9	753	328	2.86e-106
103956_0:001cf9	236	66.949	4	746	325	2.86e-106
1203425_0:0042e0	254	61.417	11	755	329	2.92e-106
37079_0:00263a	233	67.811	18	746	325	3.08e-106
176946_0:003693	227	67.401	7	748	326	3.31e-106
182897_0:0005d3	250	65.200	2	749	326	3.38e-106
33584_0:001afe	241	65.145	3	746	325	3.38e-106
56067_0:002534	240	65.417	2	745	325	3.40e-106
8905_0:000035	228	68.860	3	752	328	3.48e-106
39621_0:002a2a	274	60.219	3	749	326	4.36e-106
97097_0:0015bd	223	68.610	2	747	326	4.39e-106
36176_0:00291d	229	68.996	6	753	328	4.68e-106
150288_0:003f36	275	57.455	14	749	326	4.77e-106
158456_0:004d8e	254	61.417	11	751	327	5.05e-106
135165_0:00111f	241	65.560	3	744	324	5.33e-106
105023_0:0034ca	253	61.660	9	749	326	6.15e-106
79653_0:0004d8	228	68.421	3	744	324	6.55e-106
99883_0:004436	254	62.205	11	744	324	6.67e-106
1841481_0:0028a2	253	61.265	10	749	326	8.29e-106
9009_0:000273	221	68.326	3	742	323	1.17e-105
48278_0:001ec0	225	68.000	1	742	323	1.19e-105
89951_0:0002e7	254	62.205	9	748	326	1.20e-105
8496_0:003a8b	251	63.745	8	741	323	1.29e-105
33616_0:00272f	228	68.421	3	750	327	1.29e-105
13397_0:002a3e	256	64.062	10	751	327	1.29e-105
36212_0:005cd5	274	58.759	17	749	326	1.33e-105
9770_0:00179f	229	72.926	11	738	322	1.37e-105
109280_0:003e0b	254	61.417	10	748	326	1.40e-105
54369_0:001e62	240	66.667	6	742	323	1.42e-105
317792_0:002170	240	65.417	2	742	323	1.52e-105
422203_0:00318f	248	62.097	10	747	326	1.82e-105
184440_0:00572d	254	62.205	12	747	326	1.96e-105
91951_0:002b90	249	65.863	2	746	325	1.99e-105
128390_0:0022de	199	75.879	1	744	324	2.28e-105
56726_0:004f76	254	61.024	11	750	327	2.32e-105
75038_0:004da4	272	58.088	16	745	325	2.35e-105
9083_0:000f76	204	70.588	1	740	323	2.38e-105
80972_0:004679	273	57.875	17	747	326	2.39e-105
135168_0:0031f1	264	62.121	2	744	324	2.50e-105
55544_0:00172b	251	62.948	9	739	322	2.76e-105
9261_0:002ea5	210	77.143	5	748	326	2.86e-105
378071_0:002938	229	67.249	4	748	326	3.17e-105
156561_0:001680	266	62.030	4	746	325	3.37e-105
121530_0:0004d4	228	67.982	2	740	323	4.04e-105
8262_0:00514b	254	60.630	10	747	326	4.23e-105
48427_0:001f31	228	67.982	3	741	323	4.78e-105
164674_0:001abc	244	65.984	2	745	325	5.27e-105
187382_0:001c7d	238	66.807	4	740	323	5.46e-105
227182_0:001436	240	67.500	7	738	322	5.71e-105
